equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11006@linha:L4,EQ11006,ratio_spent,linha,L4,EQ11002@linha:L4; EQ11003@linha:L4; EQ11004@linha:L4; EQ11008@linha:L4; EQ11009@linha:L4,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L4; EQ11003@linha:L4; EQ11004@linha:L4; EQ11008@linha:L4; EQ11009@linha:L4,108,PUBLISHED,YES,
EQ11006@linha:L5,EQ11006,ratio_spent,linha,L5,EQ11002@linha:L5; EQ11003@linha:L5; EQ11004@linha:L5; EQ11008@linha:L5; EQ11009@linha:L5,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L5; EQ11003@linha:L5; EQ11004@linha:L5; EQ11008@linha:L5; EQ11009@linha:L5,109,PUBLISHED,YES,
EQ11006@linha:L6,EQ11006,ratio_spent,linha,L6,EQ11002@linha:L6; EQ11003@linha:L6; EQ11004@linha:L6; EQ11008@linha:L6; EQ11009@linha:L6,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L6; EQ11003@linha:L6; EQ11004@linha:L6; EQ11008@linha:L6; EQ11009@linha:L6,110,PUBLISHED,YES,
EQ11006@linha:L7,EQ11006,ratio_spent,linha,L7,EQ11002@linha:L7; EQ11003@linha:L7; EQ11004@linha:L7; EQ11008@linha:L7; EQ11009@linha:L7,PARAM11001; PARAM11002; VAR11002; VAR11011; VAR11012; VAR11013; VAR11014; VAR11081; VAR11087; VAR11090; VAR11091; VAR11092; VAR11093,EQ11002@linha:L7; EQ11003@linha:L7; EQ11004@linha:L7; EQ11008@linha:L7; EQ11009@linha:L7,111,PUBLISHED,YES,
EQ11010@linha:L1,EQ11010,producao_base_ppt_base,linha,L1,EQ11007@linha:L1; EQ11008@linha:L1,VAR11080; VAR11081,EQ11007@linha:L1; EQ11008@linha:L1,112,PUBLISHED,YES,
EQ11010@linha:L2,EQ11010,producao_base_ppt_base,linha,L2,EQ11007@linha:L2; EQ11008@linha:L2,VAR11080; VAR11081,EQ11007@linha:L2; EQ11008@linha:L2,113,PUBLISHED,YES,
EQ11010@linha:L3,EQ11010,producao_base_ppt_base,linha,L3,EQ11007@linha:L3; EQ11008@linha:L3,VAR11080; VAR11081,EQ11007@linha:L3; EQ11008@linha:L3,114,PUBLISHED,YES,
EQ11010@linha:L4,EQ11010,producao_base_ppt_base,linha,L4,EQ11007@linha:L4; EQ11008@linha:L4,VAR11080; VAR11081,EQ11007@linha:L4; EQ11008@linha:L4,115,PUBLISHED,YES,
EQ11010@linha:L5,EQ11010,producao_base_ppt_base,linha,L5,EQ11007@linha:L5; EQ11008@linha:L5,VAR11080; VAR11081,EQ11007@linha:L5; EQ11008@linha:L5,116,PUBLISHED,YES,
EQ11010@linha:L6,EQ11010,producao_base_ppt_base,linha,L6,EQ11007@linha:L6; EQ11008@linha:L6,VAR11080; VAR11081,EQ11007@linha:L6; EQ11008@linha:L6,117,PUBLISHED,YES,
